Species,Mg,TC,MRo2,Watts,ref,
Bufo marinus ,101,25,3.1704,0.0177014,[255] ,
Bufo marinus ,88.7,25,6.3447,0.035424575,[255] ,
Bufo marinus ,101,30,5.7782,0.032261617,[255] ,
Bufo marinus ,101,35,8.2669,0.046156858,[255] ,
Bufo terrestris ,21.4,5,0.6527,0.003644242,[255] ,
Bufo terrestris ,16.6,15,1.336,0.007459333,[255] ,
Bufo terrestris ,102,15,7.5,0.041875,[255] ,
Bufo terrestris ,102,20,15.1,0.084308333,[255] ,
Bufo terrestris ,19.8,25,2.2425,0.012520625,[255] ,
Bufo terrestris ,102,25,30.42,0.169845,[255] ,
Bufo terrestris ,102,30,61.25,0.341979167,[255] ,
Bufo viridis ,35,20,0.875,0.004885417,[255] ,
Bufo woodhousii ,67.4,10,1.2739,0.007112608,[255] ,
Bufo woodhousii ,69,15,2.7255,0.015217375,[255] ,
Bufo woodhousii ,64.8,20,4.4129,0.024638692,[255] ,
Bufo woodhousii ,52.2,23,2.16,0.01206,[255] ,
Bufo woodhousii ,56.3,25,2.2351,0.012479308,[255] ,
Bufo woodhousii ,9,25,1.017,0.00567825,[255] ,
Colostethus inguinalis ,1.57,20,0.1366,0.000762683,[255] ,
Colostethus inguinalis ,1.53,25,0.2127,0.001187575,[255] ,
Colostethus nubicola ,0.28,20,0.0314,0.000175317,[255] ,
Colostethus nubicola ,0.27,25,0.0435,0.000242875,[255] ,
Colostethus trinitatus ,1,25,0.201,0.00112225,[255] ,
Dendrobates auratus ,2.09,20,0.1421,0.000793392,[255] ,
Dendrobates auratus ,1.77,25,0.1593,0.000889425,[255] ,
Phyllobates subpunctatus ,1.5,15,0.108,0.000603,[255] ,
Bombina orientalis ,2.62,20,0.149,0.000831917,[255] ,
Bombina orientalis ,2.6,20,0.1456,0.000812933,[255] ,
Discoglossus pictus ,30.71,20,1.142,0.006376167,[255] ,
Discoglossus pictus ,30.7,20,1.1359,0.006342108,[255] ,
Acris crepitans ,1.935,5,0.0459,0.000256275,[255] ,
Acris crepitans ,1.59,15,0.0477,0.000266325,[255] ,
Acris crepitans ,1.735,15,0.1118,0.000624217,[255] ,
Acris crepitans ,1.5,15,0.1155,0.000644875,[255] ,
Acris crepitans ,0.5,15,0.0335,0.000187042,[255] ,
Acris crepitans ,1.27,15,0.0838,0.000467883,[255] ,
Acris crepitans ,0.9,15,0.0612,0.0003417,[255] ,
Acris crepitans ,1.855,25,0.3288,0.0018358,[255] ,
Acris crepitans ,1.5,25,0.2535,0.001415375,[255] ,
Acris crepitans ,0.5,25,0.117,0.00065325,[255] ,
Agalychnis callidryas ,5.65,20,0.337,0.001881583,[255] ,
Agalychnis callidryas ,5.7,20,0.3477,0.001941325,[255] ,
Cyclorana platycephala ,11,15,0.5907,0.003298075,[255] ,
Hyla arborea ,7.78,18.5,2.4429,0.013639525,[255] ,
Hyla arenicolor ,3.37,20,0.3,0.001675,[255] ,
Hyla arenicolor ,3.4,20,0.3162,0.00176545,[255] ,
